encoder,pooling,epoch,type,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
eat_large,mean,6,mixed,3700,3700,3700,3700,0.19351351351351354,0.21027027027027023,0.1518918918918919,,,0.8156216216216216,,
eat_large,mean,6,music_only,561,561,0,561,0.0748665480427046,,0.06417132689374683,,,,,
eat_large,mean,6,voice_only,316,316,316,0,0.15825771324863885,0.20578745714861868,,,,,,
eat_large,attention,6,mixed,3700,3700,3700,3700,0.19675675675675675,0.20216216216216218,0.1518918918918919,,,0.8156216216216216,,
eat_large,attention,6,music_only,561,561,0,561,0.06417132689374683,,0.06773640061006608,,,,,
eat_large,attention,6,voice_only,316,316,316,0,0.17100221818915107,0.1866706997378504,,,,,,
spear,mean,6,mixed,3700,3700,3700,3700,0.20108108108108105,0.14378378378378376,0.19351351351351354,,,0.8126486486486486,,
spear,mean,6,music_only,561,561,0,561,0.0891268429079817,,0.07130147432638534,,,,,
spear,mean,6,voice_only,316,316,316,0,0.21508368622706192,0.1866706997378504,,,,,,
spear,attention,6,mixed,3700,3700,3700,3700,0.198018018018018,0.1535135135135135,0.18594594594594593,,,0.8145045045045045,,
spear,attention,6,music_only,561,561,0,561,0.08556176919166245,,0.07130147432638534,,,,,
spear,attention,6,voice_only,316,316,316,0,0.2469449485783424,0.1930429522081065,,,,,,
xlsr,mean,6,mixed,3700,3700,3700,3700,0.19783783783783782,0.12486486486486484,0.25135135135135134,,,0.8007027027027027,,
xlsr,mean,6,music_only,561,561,0,561,0.0998220640569395,,0.07843162175902392,,,,,
xlsr,mean,6,voice_only,316,316,316,0,0.1866706997378504,0.1802984472675943,,,,,,
xlsr,attention,6,mixed,3700,3700,3700,3700,0.20216216216216218,0.12810810810810813,0.24810810810810813,,,0.7988648648648649,,
xlsr,attention,6,music_only,561,561,0,561,0.10338713777325875,,0.0748665480427046,,,,,
xlsr,attention,6,voice_only,316,316,316,0,0.1802984472675943,0.17100221818915107,,,,,,
