CHANNEL,TASK,PARENTS,POSITIVE_PARENTS,NEGATIVE_PARENTS,PAIRS,CLEAN_EER,CHANNEL_EER,CLEAN_PAIR_ERROR,CHANNEL_PAIR_ERROR,CORRECT_TO_INCORRECT,INCORRECT_TO_CORRECT,CLEAN_TIES,CHANNEL_TIES,RANK_STATE_FLIPS,MEAN_SCORE_DELTA,MEAN_SIGNED_DELTA,MEAN_PAIR_MARGIN_DELTA
g711_ulaw,FILE,48,36,12,432,0.08333333333333334,0.25,0.05555555555555558,0.13657407407407407,38,3,0,0,41,-0.04531713663125,-0.03570463560625,-0.034789512775
g711_ulaw,VOICE,48,24,24,576,0.041666666666666644,0.041666666666666644,0.01388888888888884,0.00868055555555558,5,8,0,0,13,0.0036716198750000087,-0.04258870069999999,-0.08517740139999999
g711_ulaw,MUSIC,48,24,24,576,0.08333333333333334,0.20833333333333337,0.03298611111111116,0.11458333333333337,55,8,0,0,63,-0.2524176797041667,-0.1245298583083333,-0.24905971661666668
g722_wb,FILE,48,36,12,432,0.08333333333333334,0.09722222222222224,0.05555555555555558,0.06944444444444442,11,5,0,0,16,0.01652876976458333,-0.013077010039583337,-0.056910386458333344
g722_wb,VOICE,48,24,24,576,0.041666666666666644,0.041666666666666644,0.01388888888888884,0.0017361111111111605,0,7,0,0,7,0.008019273697916668,-0.013911330518749996,-0.027822661037499988
g722_wb,MUSIC,48,24,24,576,0.08333333333333334,0.125,0.03298611111111116,0.03472222222222221,4,3,0,0,7,-0.006778584983333338,0.007941194483333332,0.015882388966666664
opus_nb_8k,FILE,48,36,12,432,0.08333333333333334,0.41666666666666663,0.05555555555555558,0.2847222222222222,106,7,0,0,113,0.02753270831874999,-0.07941162326875,-0.248474606475
opus_nb_8k,VOICE,48,24,24,576,0.041666666666666644,0.20833333333333337,0.01388888888888884,0.1840277777777778,101,3,0,0,104,0.14896624422291668,-0.21755670873958333,-0.4351134174791666
opus_nb_8k,MUSIC,48,24,24,576,0.08333333333333334,0.20833333333333337,0.03298611111111116,0.1440972222222222,70,6,0,0,76,-0.1961317751,-0.14283555522916666,-0.2856711104583333
transcode_g711_opus,FILE,48,36,12,432,0.08333333333333334,0.2638888888888889,0.05555555555555558,0.27083333333333337,102,9,0,0,111,0.02318523636041667,-0.07884602225625,-0.24116970783055558
transcode_g711_opus,VOICE,48,24,24,576,0.041666666666666644,0.25,0.01388888888888884,0.2065972222222222,111,0,0,0,111,0.15153094497291666,-0.22937766856041666,-0.4587553371208334
transcode_g711_opus,MUSIC,48,24,24,576,0.08333333333333334,0.20833333333333337,0.03298611111111116,0.16493055555555558,81,5,0,0,86,-0.1870049528729167,-0.15568581341041668,-0.31137162682083336
